feature,importance
Area Locality_Navi Mumbai-Khargar-Panvel,6.011674182513648e-05
Area Locality_Madhapur,5.984819583859545e-05
Area Locality_Vidyaranyapura,5.982437695738126e-05
Area Locality_Model Town,5.9765128995921815e-05
Area Locality_Lajpat Nagar,5.8833143409890893e-05
"Area Locality_Lodha Azzuro , Parel",5.865602171428062e-05
"Area Locality_Deep Heights, Nalasopara",5.8604408593943676e-05
"Area Locality_Ashok tower, Parel",5.735017059915432e-05
"Area Locality_Vikram Vihar, Lajpat Nagar",5.69326470368281e-05
Area Locality_Ballygunge,5.6370361335426184e-05
"Area Locality_Jaya Nagar Block 8, Jayanagar",5.633492324706638e-05
"Area Locality_7 Bungalow, Seven Bungalows",5.6128390188169225e-05
"Area Locality_Adyar, Thiruvanmiyur, Chennai",5.585427631811976e-05
Area Locality_Grant Road,5.54337682900859e-05
Area Locality_Nandanam Extension,5.514140628784589e-05
Area Locality_Ghatkopar East,5.454914731384609e-05
Area Locality_Azad Nagar Colaba,5.393885373538167e-05
"Area Locality_Hiranandani Castle Rock, Powai",5.380581085569474e-05
"Area Locality_Trump Tower, Worli",5.365044073840252e-05
"Area Locality_Bhel Township- Malleshwaram, Malleshwaram",5.324917221947541e-05
"Area Locality_Magnum Tower CHS, Lokhandwala Complex",5.2874423301600487e-05
Area Locality_Velachery,5.23445787103279e-05
"Area Locality_Karkardooma, Anand Vihar",5.2223151183966955e-05
Area Locality_kst chattarpur Apartments,5.148011213943757e-05
"Area Locality_Platinum Prive, Andheri West",5.1442389137145094e-05
Area Locality_Ashok Nagar,5.1123905905719775e-05
"Area Locality_Transcon Triumph, Lokhandwala Complex",5.1007847630512046e-05
Area Locality_Sethi floor nihal vihar,4.994962902370782e-05
"Area Locality_Kukatpally, NH 9",4.94264238532553e-05
"Area Locality_Band Stand, Bandra Band Stand",4.902385168268556e-05
"Area Locality_Amar Colony, Lajpat Nagar",4.749540956086722e-05
"Area Locality_Ekta Legranz, Chembur",4.7430047021078415e-05
Area Locality_Mira Road,4.733027433394871e-05
Area Locality_New Town Action Area 1,4.7310821041812675e-05
Area Locality_Salt Lake City,4.6999500550334913e-05
Area Locality_Shalimar bagh,4.688610917759148e-05
"Area Locality_Valasaravakkam, Arcot Road",4.6347875345998426e-05
Area Locality_Agripada,4.614317099288111e-05
Area Locality_Pallavaram,4.573457174670031e-05
Area Locality_Dhobi Ghat- Rajajinagar,4.535812176615986e-05
Area Locality_Juhu Tara,4.4540715016308135e-05
"Area Locality_Sundar Nagar, Kalina",4.370678301298036e-05
Area Locality_Chittaranjan Park Block B,4.334554587459408e-05
"Area Locality_Dosti Flamingo, Sewri",4.301569131888363e-05
"Area Locality_Kamaraj Nagar-Thiruvanmiyur, E Coast Road",4.2953167493915866e-05
Area Locality_Guttahalli,4.2829369039578084e-05
"Area Locality_Oberoi Esquire, Goregaon East",4.273900015594755e-05
Area Locality_Ghatkopar,4.261012049959134e-05
"Area Locality_Oberoi Splendor Grande, Agarkar Chowk",4.204687221664285e-05
