feature,importance
Area Locality_Masab Tank,7.216879166287133e-07
Area Locality_Kalavakkam,7.150989236036365e-07
"Area Locality_Jalahalli, Jalahalli, Outer Ring Road",7.086769308082617e-07
Area Locality_Chhattarpur,6.833482140491964e-07
Area Locality_Mahim,6.789333007240662e-07
Area Locality_Ambattur,6.606701373870814e-07
Area Locality_Thoraipakkam,6.429099636812193e-07
"Area Locality_Malakpet, NH 9",6.418409281929784e-07
Area Locality_Aya Nagar,6.25450114124544e-07
Area Locality_Virugambakkam,5.826584713556012e-07
Area Locality_Nandambakkam,5.578316391188551e-07
Area Locality_Vijayanagar,5.343563397846153e-07
"Area Locality_Hafeezpet, NH 9",5.253992847543479e-07
Area Locality_Bandlaguda Jagir,4.977617654907244e-07
Area Locality_Mayur Vihar 1,4.940602114532811e-07
Area Locality_Dum Dum,4.748208205869075e-07
Area Locality_Sodepur,4.736298801033323e-07
Area Locality_Patel Nagar West,4.729218129009831e-07
Area Locality_Mayur Vihar Phase 1 Extension,4.419595085569997e-07
Area Locality_Pammal,4.413757843309322e-07
Area Locality_Pattabiram,4.2202094525737356e-07
Area Locality_Mahindra World City,4.2015805449853575e-07
Area Locality_Najafgarh,4.029222924914825e-07
Area Locality_Kompally,4.000951352602317e-07
Area Locality_Kolathur,3.998518605006071e-07
Area Locality_Hsr Layout,3.991923718723106e-07
Area Locality_Koramangala,3.940832654907172e-07
Area Locality_Thalambur,3.849179141555908e-07
Area Locality_Dammaiguda,3.836556181265051e-07
Area Locality_Musheerabad,3.8358561997264666e-07
Area Locality_Neb Sarai,3.8201615525250603e-07
Area Locality_Behala,3.7717129737222013e-07
Area Locality_Madambakkam,3.671956617701573e-07
Area Locality_Birati,3.479811433669012e-07
Area Locality_Mehdipatnam,3.4640604983506115e-07
Area Locality_Dum Dum Metro,3.445815040359137e-07
"Area Locality_Somajiguda, NH 9",3.3190558415123507e-07
Area Locality_Nanganallur,3.312973100196714e-07
Area Locality_Saidapet,3.141762480121031e-07
"Area Locality_Indraprastha Extension, Patparganj",3.1208052813288886e-07
Area Locality_Keshtopur,3.12057286841628e-07
Area Locality_Byatarayanapura,3.114145058555422e-07
Area Locality_Vidyaranyapura,3.0537618569265275e-07
Area Locality_Patparganj,3.050760450164419e-07
Area Locality_Anakaputhur,2.976136616237014e-07
Area Locality_Baguiati,2.963401605145356e-07
"Area Locality_Paryavaran Complex, Sainik Farm",2.773907191096604e-07
Area Locality_Sithalapakkam,2.7375373234688256e-07
Area Locality_Kanjurmarg East,2.731532583836722e-07
Area Locality_Agarpara,2.711590391794689e-07
"Area Locality_Garia Station, Garia",2.686754160178877e-07
Area Locality_Choolaimedu,2.657863951505668e-07
"Area Locality_Auris Serenity, Kanch Pada",2.622356220103242e-07
Area Locality_Malad West,2.5958679976804595e-07
Area Locality_Bannerghatta Main Road,2.5471675955246955e-07
Area Locality_Nagole,2.54665604540721e-07
Area Locality_Worli,2.4916232131432227e-07
"Area Locality_Pragathi Nagar, Kukatpally",2.4624969312594625e-07
Area Locality_Ramamurthy Nagar,2.433350546524576e-07
Area Locality_Baghajatin,2.4220695328161104e-07
Area Locality_Lower Parel,2.3351061041431719e-07
"Area Locality_Action Area 1, Rajarhat Newtown",2.319031534409492e-07
Area Locality_Kapra,2.144643667000354e-07
Area Locality_Old Washermanpet,1.987216215139083e-07
Area Locality_Ghatkopar West,1.9403269327243436e-07
Area Locality_Amberpet,1.93515736473661e-07
"Area Locality_Peerzadiguda, NH 2 2",1.8373287665284442e-07
Area Locality_Nanmangalam,1.8194339417407382e-07
Area Locality_Kaikhali,1.7696942225470783e-07
"Area Locality_Hyder Nagar, NH 9",1.7440268140181627e-07
"Area Locality_Hayathnagar, NH 9",1.6854583934750014e-07
Area Locality_Almasguda,1.6168674517086646e-07
Area Locality_Mangadu,1.5597330850476975e-07
Area Locality_Seven Bungalows,1.53225370934193e-07
Area Locality_Borabanda,1.522934368700595e-07
Area Locality_Nagarbhavi,1.4650400545684014e-07
Area Locality_Rajajinagar,1.4240518411684472e-07
"Area Locality_Gandhamguda, Bairagiguda",1.4207287979093026e-07
Area Locality_Shadipur,1.407049337761361e-07
Area Locality_Lake Town,1.3911745532582798e-07
"Area Locality_Madinaguda, Hafeezpet, NH 9",1.3902914347787326e-07
"Area Locality_Electronic City Phase 2, Electronic City",1.3749152183828512e-07
"Area Locality_Jillelguda, Medbowli",1.2742864909504535e-07
Area Locality_Howrah,1.1994340471755985e-07
Area Locality_Pallikaranai,1.1248004867387265e-07
Area Locality_Moula Ali,1.0476784288466532e-07
"Area Locality_New Garia, Garia",1.037014257519121e-07
Area Locality_Chittaranjan Park,1.0263142649629022e-07
Area Locality_Padmanabha Nagar,9.707421124978619e-08
Area Locality_Uttarahalli,9.305502325199152e-08
"Area Locality_Himayath Nagar, NH 7",8.691055130403847e-08
"Area Locality_Electronics City Phase 1, Electronic City",8.474484678322711e-08
Area Locality_Borivali West,8.380902960675025e-08
Area Locality_Mehrauli,8.215066472486943e-08
"Area Locality_Dilsukh Nagar, NH 9",7.454735870259926e-08
Area Locality_Yeshwantpur,7.131692138439715e-08
Area Locality_Indira Nagar,6.806609860700728e-08
Area Locality_Thakurpukur,6.659420207547733e-08
Area Locality_Lado Sarai,6.417150498428029e-08
"Area Locality_LB Nagar, NH 9",5.844006937365158e-08
Area Locality_Kanakapura Road,5.615719878386991e-08
Area Locality_Arakere,5.32455539237682e-08
Area Locality_East Of Kailash,4.907138998014136e-08
Area Locality_Perambur,4.8600914122061106e-08
Area Locality_Kengeri,4.683358377096314e-08
Area Locality_Mogappair East,4.516524347874799e-08
Area Locality_Bommanahalli,4.475035572423646e-08
"Area Locality_Vanasthalipuram, NH 9",3.996822780149684e-08
Area Locality_Raj Bhawan Road,3.44440503257044e-08
"Area Locality_Mohan Garden, Razapur Khurd",3.225431012305292e-08
Area Locality_Chitlapakkam,3.164869559658124e-08
"Area Locality_Godrej Tranquil, Kandivali East",3.156239382280584e-08
