feature,importance
Area Locality_Uttam Nagar,1.1594495320290239e-07
Area Locality_Serilingampally,1.1341729674925585e-07
"Area Locality_Madinaguda, Hafeezpet, NH 9",1.1207766324019648e-07
Area Locality_Byatarayanapura,1.1050765870070758e-07
"Area Locality_Mohan Garden, Razapur Khurd",1.0787981354548326e-07
Area Locality_Nagarbhavi,1.0263878011074817e-07
Area Locality_Bata Nagar,9.754762676519194e-08
"Area Locality_Indraprastha Extension, Patparganj",9.746526186121785e-08
"Area Locality_Boduppal, NH 2 2",9.580547713200118e-08
Area Locality_Mehrauli,9.565129072837356e-08
Area Locality_Bandlaguda Jagir,9.284804755546924e-08
"Area Locality_Pocharam, NH 2 2",8.762170544585721e-08
Area Locality_Salt Lake City Sector 3,8.178320333566326e-08
Area Locality_Madambakkam,7.928076568849627e-08
Area Locality_Sithalapakkam,7.826922564140034e-08
Area Locality_Toli Chowki,7.66092032910861e-08
Area Locality_Royapettah,7.40307531947217e-08
"Area Locality_Financial District, Nanakram Guda",7.000026200997928e-08
Area Locality_Belghoria,6.931224907829219e-08
Area Locality_Nagole,6.564845103622707e-08
"Area Locality_Somajiguda, NH 9",6.502402955334139e-08
Area Locality_Kothapet,6.485092021161006e-08
Area Locality_Adambakkam,6.356907999320361e-08
Area Locality_Saket,6.10803220244124e-08
Area Locality_Koramangala,6.06782495327262e-08
Area Locality_Mahindra World City,5.727212298923984e-08
Area Locality_Kompally,5.6303482185315926e-08
Area Locality_Poonamallee,5.586086102656066e-08
Area Locality_Kapra,5.319683482227035e-08
Area Locality_Nri Layout,4.91555889565052e-08
Area Locality_Hongasandra,4.846966035308791e-08
"Area Locality_Peerzadiguda, NH 2 2",4.742299749536828e-08
Area Locality_Moula Ali,4.598158094551307e-08
Area Locality_Iyyappanthangal,4.5969035491852327e-08
Area Locality_Rohini Sector 3,4.402516575920844e-08
Area Locality_Baruipur,4.37202306686608e-08
Area Locality_Hebbal Kempapura,4.3548200163179466e-08
"Area Locality_Old Malakpet, NH 9",4.308102334415497e-08
"Area Locality_LB Nagar, NH 9",4.29155932491893e-08
"Area Locality_Vanasthalipuram, NH 9",4.0045093567866993e-08
"Area Locality_NG Royal Park, Kanjurmarg East",3.9686273870646723e-08
Area Locality_Chitlapakkam,3.896480371927606e-08
Area Locality_Patel Nagar West,3.80106427308286e-08
"Area Locality_Urapakkam, Vandalur R.F, GST Road",3.776626639065046e-08
Area Locality_Bannerghatta Main Road,3.7335543431775264e-08
Area Locality_Sonarpur,3.476590927487305e-08
"Area Locality_Purasawalkam, PH Road",3.4363324079813756e-08
Area Locality_Jagadgiri Gutta,3.41174952777746e-08
Area Locality_Charkop,3.3795718210669776e-08
Area Locality_Ramamurthy Nagar,3.1305279736593735e-08
Area Locality_Kovilambakkam,2.931594474545841e-08
